commentId,videoId,authorChannelId,likeCount,publishedAt
z13wingpnxjcvlhig04ccdmx5zqqc1aii5s,InSJBzZr414,UCsPYm5hkSIzPWlDXcbeuYXg,0,20/11/2016 17:31:24
z12kenpjuovrel2kc22gh1o40smryleww04,knbw0gJHHBk,UCijFpGr-0Wwq1X95KY3XS7g,0,12/03/2017 08:23:22
z122y5bj4xbpjxhhf04cg5jznkejt5pghb4,knbw0gJHHBk,UClNk99onJrXg1BPfpK3vC_A,0,11/03/2017 03:04:40
z132uhzgipe4z5uyt04cjx0qvt2wsxbykro0k,fYWtbMb8Fhw,UCWD8HQymBeUF2zz7er-tizg,0,14/03/2017 12:00:57
z12xvjcrhp3qz352122gxvepqx3fgnwtg,fYWtbMb8Fhw,UCHdSOdakYLtEvIxK0zKwddQ,0,13/03/2017 07:57:50
z12ggnmbcn20s3eta223s1ihhunxtzpdv,iFaRkscKn_Y,UCmRhz4iczMYCtFEDnJdbKUQ,0,08/03/2017 05:29:01
z12gxbnqhpm4hn1au04ciljiuyn4jnkza1o,iFaRkscKn_Y,UCuUrM1KOH0NYTlnpsakc_7A,0,27/02/2017 00:47:03
z13ktzhzkye5i3lcs23xjbw5mlayzthpv04,6clJRsPyuhc,UCnI4j4pisTh1-HnwsrW81Vw,1,19/02/2017 02:50:10
z12if5iiqzenvl1ro04cdjgalwrawnpr4ik,6clJRsPyuhc,UCv53Fi6Z5hWd-WATDzZTahw,0,15/02/2017 04:21:16
z13lupmrlurndxgzy04cgvxyitjoun3ra2g,hOgh88tDPTY,UCNUZnrJ1jmDx5QrPOXvE25A,0,23/10/2016 04:23:26
z13fytaxwr2chvyuz22ce5nzaxjshnq2h,hOgh88tDPTY,UCR30FayhnyJIIyJUGIlWccw,0,25/08/2016 04:05:56
z13afdvpgt2sehz5y04cdjzppoyiwblonpo0k,WHCQndalv94,UCol1QYehGgxriI6HAcb2EmQ,5,12/09/2016 05:22:03
z12lg5rznxrfs5zqs04cej0bbm3qtbfyhwg0k,WHCQndalv94,UCBD15skIo_rKBpMw_KDVZ9A,2,31/08/2016 21:48:31
z13vwjoalyqixzp1222nsb2rxm3xchorh04,Bml8KwCmob8,UCwXBGnuzAItW3C7I9MtEc0Q,0,12/03/2017 05:32:27
